source,source_type,relation,sub_relation,target,target_type,source_table
Pancoast综合征,疾病,症状,,肩痛,,
Pancoast综合征,疾病,症状,,眼裂缩小等,,
Pancoast综合征,疾病,症状,,音哑,,
Pancoast综合征,疾病,治疗,,原发肿瘤的治疗,,
Pancoast综合征,疾病,病因,,食管癌等引起,,
Pancoast综合征,疾病,同义词,,肺尖肿瘤综合征,,
Pancoast综合征,疾病,症状,,上肢麻木,,
Pancoast综合征,疾病,症状,,麻木,,
Pancoast综合征,疾病,病因,,胸膜间皮瘤,疾病,
Pancoast综合征,疾病,就诊科室,,内科,,
poems综合征,疾病,症状,,杵状指,,
Q热,疾病,症状,,Q热肺炎,疾病,
Q热,疾病,就诊科室,,呼吸内科,,
Q热,疾病,症状,,干咳,,
Q热,疾病,高危因素,,屠宰场工人,,
Q热,疾病,症状,,肺炎,疾病,
Q热肺炎,疾病,检查,,X线检查,,
Q热肺炎,疾病,症状,,呼吸困难,,
Q热肺炎,疾病,症状,,发热,,
Q热肺炎,疾病,症状,,干咳,,
Q热肺炎,疾病,检查,,分子生物学检测,,
Q热肺炎,疾病,症状,,头痛,,
Q热肺炎,疾病,就诊科室,,呼吸内科,,
Q热肺炎,疾病,检查,,动物接种和病原体分离,,
Q热肺炎,疾病,病因,,伯纳特立克次体引起,,
Q热肺炎,疾病,症状,,压痛,,
Q热肺炎,疾病,症状,,关节疼痛,,
Q热肺炎,疾病,症状,,乏力,,
Q热肺炎,疾病,症状,,疼痛,疾病,
Q热肺炎,疾病,症状,,出汗,,
Q热肺炎,疾病,症状,,疲倦,,
Q热肺炎,疾病,检查,,痰液化验,,
Q热肺炎,疾病,检查,,病原学检查,,
Q热肺炎,疾病,症状,,肌痛与间质性肺炎,,
Q热肺炎,疾病,症状,,心脏杂音,,
Q热肺炎,疾病,发病部位,,肺,,
Q热肺炎,疾病,症状,,皮疹,疾病,
Q热肺炎,疾病,症状,,胸痛,疾病,
Q热肺炎,疾病,检查,,血液化验,,
Q热肺炎,疾病,检查,,血清学检查,,
Q热肺炎,疾病,症状,,肝脏肿大,,
Q热肺炎,疾病,症状,,肺炎,疾病,
Q热肺炎,疾病,症状,,肝脾肿大,,
Q热肺炎,疾病,症状,,食欲减退,,
Q热肺炎,疾病,症状,,食欲缺乏,,
Q热肺炎,疾病,症状,,长期不规则发热,,
Q热肺炎,疾病,症状,,高热,,
S20140002,西药,不良反应,,呼吸困难,,
S20140002,西药,成份,,氧,西药,
S20140002,西药,分类,,第一代头孢菌素,,
S20140002,西药,不良反应,,过敏反应,,
S20140002,西药,不良反应,,血管神经性水肿,,
Tab.SMZco,西药,英文名称,,SMZco（Compound Sulfamethoxazole Tablets）,,
