head,head_type,relation,tail,tail_type,source
tabsmzco,西药,不良反应,血清病样反应,症状,medical_kg
tabsmzco,西药,不良反应,过敏反应,症状,medical_kg
tabsmzco,西药,不良反应,错乱,症状,medical_kg
tabsmzco,西药,不良反应,过敏性休克,疾病,medical_kg
t淋巴细胞亚群检查,诊疗技术及设备,相关疾病,非典,疾病,medical_kg
wegner肉芽肿伴发的葡萄膜炎,疾病,临床表现,下呼吸道坏死性肉芽肿,症状,medical_kg
x连锁无丙种球蛋白血症,疾病,临床表现,支气管炎,疾病,medical_kg
x连锁无丙种球蛋白血症,疾病,临床表现,肺炎,疾病,medical_kg
x线碘油造影,诊疗技术及设备,分类,x线,其他治疗,medical_kg
x线碘油造影,诊疗技术及设备,相关疾病,纵膈感染,疾病,medical_kg
x线碘油造影,诊疗技术及设备,临床表现,肿块,症状,medical_kg
x线碘油造影,诊疗技术及设备,相关疾病,纵隔炎,疾病,medical_kg
α1抗胰蛋白酶缺乏症,疾病,英文名称,α1—antitrypsin deficiency,药物,medical_kg
α1抗胰蛋白酶缺乏症,疾病,病因,常染色体遗传,病原体,medical_kg
α1抗胰蛋白酶缺乏症,疾病,所属科室,内科,科室,medical_kg
α1抗胰蛋白酶缺乏症,疾病,检查,α1 抗胰蛋白酶表型检测,检查,medical_kg
α1抗胰蛋白酶缺乏症,疾病,诊断依据,e88.0,检查,medical_kg
α1抗胰蛋白酶缺乏症,疾病,检查,α—1 抗胰蛋白酶,检查,medical_kg
α1抗胰蛋白酶缺乏症,疾病,临床表现,尿色深肝肿大门脉高压症等,症状,medical_kg
α1抗胰蛋白酶缺乏症,疾病,并发症,患者易并发肝炎,疾病,medical_kg
α1抗胰蛋白酶缺乏症,疾病,临床表现,喘息,症状,medical_kg
α1抗胰蛋白酶缺乏症,疾病,临床表现,肝肿大,症状,medical_kg
α硫辛酸注射液,西药,不良反应,呼吸困难,症状,medical_kg
α1抗胰蛋白酶缺乏症,疾病,并发症,肺气肿,疾病,medical_kg
ω3鱼油脂肪乳注射液,西药,不良反应,呕吐呼吸困难头痛,症状,medical_kg
ω3鱼油脂肪乳注射液,西药,不良反应,呼吸困难,症状,medical_kg
ω3鱼油脂肪乳注射液,西药,不良反应,胸痛,疾病,medical_kg
ω3鱼油中长链脂肪乳注射液,西药,不良反应,发绀,症状,medical_kg
ω3鱼油中长链脂肪乳注射液,西药,不良反应,呼吸困难,症状,medical_kg
ω3鱼油中长链脂肪乳注射液,西药,不良反应,气促,症状,medical_kg
一君,西药,成份,哌拉西林和舒巴坦,药物,medical_kg
一君,西药,适应症,肺炎,疾病,medical_kg
一君,西药,成份,注射用哌拉西林钠舒巴坦钠,西药,medical_kg
一君,西药,适应症,支气管炎,疾病,medical_kg
一君,西药,分类,广谱青霉素/β—内酰胺酶抑制剂,其他治疗,medical_kg
一品,西药,英文名称,levofloxacin hydrochloride capsules,药物,medical_kg
一品,西药,英文名称,levofloxacin hydrochloride tablets,药物,medical_kg
一品,西药,分类,喹诺酮类,其他治疗,medical_kg
一品,西药,成份,左氧氟沙星,药物,medical_kg
一品,西药,分类,氟喹诺酮类/氟喹诺酮,其他治疗,medical_kg
一品,西药,成份,盐酸左氧氟沙星,药物,medical_kg
一品,西药,不良反应,血管神经性水肿,症状,medical_kg
一孚晴,西药,不良反应,发热,症状,medical_kg
一孚晴,西药,不良反应,白细胞减少,症状,medical_kg
一孚晴,西药,不良反应,白细胞减少症,症状,medical_kg
一平苏,西药,不良反应,咳嗽,症状,medical_kg
一平苏,西药,不良反应,喉头水肿,症状,medical_kg
一平苏,西药,不良反应,血管神经性水肿,症状,medical_kg
一捻金胶囊,中成药,适应症,祛痰,疾病,medical_kg
一捻金胶囊,中成药,适应症,痰盛喘咳,疾病,medical_kg
一氧化碳中毒,疾病,病因,吸入过多含碳物质燃烧不完全的产物所致,病原体,medical_kg
